food_code,food_name,food_category,representative_food,serving_basis,calories,carbs,protein,fat,sugar,sodium,source
D504-212000000-0001,흰죽,죽 및 스프류,흰죽,100ml,64,13.49,1.2,0.28,0.09,130,식품의약품안전처
D104-198000000-0001,흑임자죽,죽 및 스프류,흑임자죽,100g,61,3.64,1.1,4.73,0.75,159,식품의약품안전처
D404-198000000-0001,흑임자 죽,죽 및 스프류,흑임자 죽,100ml,106,16.36,2.2,3.37,0.15,130,식품의약품안전처
D501-052470000-0001,흑미밥_찹쌀,밥류,흑미밥,100ml,118,25.8,2.14,0.16,0.02,2,식품의약품안전처
D701-052000000-0001,흑미밥,밥류,흑미밥,100ml,118,25.85,2.12,0.18,0.03,3,식품의약품안전처
D306-303180000-0001,훠궈_소고기,찌개 및 전골류,훠궈,100g,93,6.83,4.81,5.11,1.13,390,식품의약품안전처
D308-406000000-0001,훈제오리,구이류,훈제오리,100g,319,4.83,17.22,25.63,0.11,488,식품의약품안전처
D202-127000000-0014,효모빵_착한빵식통밀빵,빵 및 과자류,효모빵,100g,292,,8.57,,11.84,380,식품의약품안전처
D202-127000000-0005,효모빵_쫄깃한 천연효모빵 (미니),빵 및 과자류,효모빵,100g,269,,9.44,,2.78,428,식품의약품안전처
D202-127000000-0004,효모빵_쫄깃한 천연효모빵 (H),빵 및 과자류,효모빵,100g,266,,9.57,,3.72,420,식품의약품안전처
D202-127000000-0006,효모빵_쫄깃한 천연효모빵,빵 및 과자류,효모빵,100g,265,,9.6,,3.47,421,식품의약품안전처
D202-127000000-0013,효모빵_쫄깃담백 토종효모빵(1/2),빵 및 과자류,효모빵,100g,266,,9.66,,3.45,421,식품의약품안전처
D202-127000000-0010,효모빵_쫄깃담백 토종효모빵 (H),빵 및 과자류,효모빵,100g,266,48.97,9.66,3.45,3.45,421,식품의약품안전처
D202-127000000-0012,효모빵_쫄깃담백 토종효모빵,빵 및 과자류,효모빵,100g,266,,9.65,,3.45,421,식품의약품안전처
D202-127000000-0003,효모빵_건포도천연효모빵,빵 및 과자류,효모빵,100g,240,,6,,10,360,식품의약품안전처
D202-127000000-0011,효모빵_건포도 토종효모빵,빵 및 과자류,효모빵,100g,272,,6.67,,13.69,340,식품의약품안전처
D202-127000000-0001,효모빵_건포도 천연효모빵 (H),빵 및 과자류,효모빵,100g,271,54.93,7.04,3.17,13.38,338,식품의약품안전처
D314-662190000-0001,회무침_서대,생채·무침류,회무침,100g,105,15.3,7.53,1.53,7.43,400,식품의약품안전처
D114-662010000-0001,회무침_가오리,생채·무침류,회무침,100g,81,6.35,11.33,1.16,5.47,354,식품의약품안전처
D114-662000000-0001,회무침,생채·무침류,회무침,100g,82,8.6,8.09,1.65,4.53,275,식품의약품안전처
D401-051450000-0001,회덮밥_참치,밥류,회덮밥,100ml,108,17.65,4.9,1.78,1.45,84,식품의약품안전처
D101-051200000-0001,회덮밥_모듬,밥류,회덮밥,100g,145,17.76,9.1,4.15,3.07,155,식품의약품안전처
D301-051000000-0001,회덮밥,밥류,회덮밥,100g,137,20.66,6.04,3.31,2.19,149,식품의약품안전처
D403-201000000-0001,회냉면,면 및 만두류,회냉면,100ml,80,14.38,3.4,0.87,1.43,294,식품의약품안전처
D305-258000000-0001,황태해장국,국 및 탕류,황태해장국,100g,30,0.95,4.08,1.13,0.25,256,식품의약품안전처
D407-351000000-0001,황태콩나물찜,찜류,황태콩나물찜,100ml,82,6.92,10.17,1.99,1.74,244,식품의약품안전처
D408-405160000-0001,황태구이_양념,구이류,황태구이,100ml,144,5.91,20.64,3.78,2.33,304,식품의약품안전처
D308-405000000-0001,황태구이,구이류,황태구이,100g,219,13.45,23.9,7.7,7.1,568,식품의약품안전처
D309-447000000-0001,화양적,전·적 및 부침류,화양적,100g,182,14.23,9.05,9.85,0.81,531,식품의약품안전처
D305-257430000-0001,홍합탕_홍합만,국 및 탕류,홍합탕,100g,29,2.28,3.68,0.57,0,303,식품의약품안전처
D309-446000000-0001,홍합산적,전·적 및 부침류,홍합산적,100g,196,13.22,22.23,6,4.17,900,식품의약품안전처
D505-330000000-0001,홍합국(홍합탕),국 및 탕류,홍합국(홍합탕),100ml,17,0.75,2.8,0.24,0.04,30,식품의약품안전처
D504-211000000-0001,홍합 소고기죽,죽 및 스프류,홍합 소고기죽,100ml,80,10.92,3.8,2.03,0.43,77,식품의약품안전처
D405-329000000-0001,홍합 미역국,국 및 탕류,홍합 미역국,100ml,5,0.32,0.7,0.16,0,78,식품의약품안전처
D504-210000000-0001,홍합 미나리죽,죽 및 스프류,홍합 미나리죽,100ml,49,9.88,1.5,0.31,0.8,2,식품의약품안전처
D705-328000000-0001,홍합 무국,국 및 탕류,홍합 무국,100ml,23,1.3,2.5,0.85,0.32,283,식품의약품안전처
D220-753000000-0097,홍차_홍차 핫(HOT),음료 및 차류,홍차,100g,1,,0,,0.06,0,식품의약품안전처
D220-753000000-0096,홍차_홍차 아이스(ICED),음료 및 차류,홍차,100g,0,,0,,0.04,0,식품의약품안전처
D220-753000000-0050,홍차_퍼스트 브레이크 핫(HOT) (L),음료 및 차류,홍차,100g,1,,0,,0,6,식품의약품안전처
D220-753000000-0049,홍차_퍼스트 브레이크 아이스(ICED) (L),음료 및 차류,홍차,100g,1,,0,,0,4,식품의약품안전처
D220-753000000-0048,홍차_크림카라멜 아이스(ICED) (L),음료 및 차류,홍차,100g,1,,0,,,2,식품의약품안전처
D220-753000000-0095,홍차_저칼로리 복숭아 블랙티 제로슈거 (Tall),음료 및 차류,홍차,100ml,4,,0.04,,0.09,8,식품의약품안전처
D220-753000000-0047,홍차_잉글리쉬브렉퍼스트 핫(HOT) (L),음료 및 차류,홍차,100g,0,,0,,,1,식품의약품안전처
D220-753000000-0046,홍차_잉글리쉬브렉퍼스트 아이스(ICED) (L),음료 및 차류,홍차,100g,0,,0,,,0,식품의약품안전처
D220-753000000-0094,홍차_잉글리쉬브렉퍼스트,음료 및 차류,홍차,100ml,0,,0,,0,1,식품의약품안전처
D220-753000000-0044,홍차_잉글리쉬 브렉퍼스트티 핫(HOT) (Tall),음료 및 차류,홍차,100g,0,,0,,0,0,식품의약품안전처
D220-753000000-0043,홍차_잉글리쉬 브렉퍼스트티 아이스(ICED) (Tall),음료 및 차류,홍차,100g,0,,0,,0,0,식품의약품안전처
D220-753000000-0045,홍차_잉글리쉬 브렉퍼스트,음료 및 차류,홍차,100g,1,,0,,0,4,식품의약품안전처
D220-753000000-0042,홍차_잉글리쉬 브랙퍼스트 핫(HOT),음료 및 차류,홍차,100g,0,,0,,0,0,식품의약품안전처
D220-753000000-0041,홍차_잉글리쉬 브랙퍼스트 아이스(ICED),음료 및 차류,홍차,100g,0,,0,,0,0,식품의약품안전처
D220-753000000-0040,홍차_유스베리티 핫(HOT) (Tall),음료 및 차류,홍차,100g,0,,0,,0,0,식품의약품안전처
D220-753000000-0039,홍차_유스베리티 아이스(ICED) (Tall),음료 및 차류,홍차,100g,0,,0,,0,0,식품의약품안전처
D220-753000000-0093,홍차_영그레이 핫(HOT) (L),음료 및 차류,홍차,100g,1,,0,,0,6,식품의약품안전처
D220-753000000-0037,홍차_영그레이 아이스(ICED) (L),음료 및 차류,홍차,100g,1,,0,,0,6,식품의약품안전처
D220-753000000-0025,홍차_얼그레이티 핫(HOT) (L),음료 및 차류,홍차,100g,0,,0.09,,0,1,식품의약품안전처
D220-753000000-0091,홍차_얼그레이티 핫(HOT) (J),음료 및 차류,홍차,100ml,1,,0,,0,1,식품의약품안전처
D220-753000000-0070,홍차_얼그레이티 핫(HOT),음료 및 차류,홍차,100g,1,,0.08,,0.04,1,식품의약품안전처
D220-753000000-0024,홍차_얼그레이티 아이스(ICED) (L),음료 및 차류,홍차,100g,0,,0.09,,0,1,식품의약품안전처
D220-753000000-0088,홍차_얼그레이티 아이스(ICED) (J),음료 및 차류,홍차,100ml,1,,0,,0,0,식품의약품안전처
D220-753000000-0087,홍차_얼그레이티 아이스(ICED),음료 및 차류,홍차,100ml,1,,0.05,,0.02,1,식품의약품안전처
D220-753000000-0086,홍차_얼그레이티,음료 및 차류,홍차,100ml,0,,0,,0,1,식품의약품안전처
D220-753000000-0068,홍차_얼그레이 핫(HOT) (M),음료 및 차류,홍차,100g,0,,0,,0,0,식품의약품안전처
D220-753000000-0067,홍차_얼그레이 핫(HOT) (L),음료 및 차류,홍차,100g,0,,0,,0,0,식품의약품안전처
D220-753000000-0083,홍차_얼그레이 핫(HOT),음료 및 차류,홍차,100ml,0,0.01,0.01,0.02,0,0,식품의약품안전처
D220-753000000-0023,홍차_얼그레이 클래식,음료 및 차류,홍차,100g,2,,0,,0,0,식품의약품안전처
D220-753000000-0063,홍차_얼그레이 아이스(ICED) (M),음료 및 차류,홍차,100g,0,,0,,0,0,식품의약품안전처
D220-753000000-0062,홍차_얼그레이 아이스(ICED) (L),음료 및 차류,홍차,100g,0,,0,,0,0,식품의약품안전처
D220-753000000-0080,홍차_얼그레이 아이스(ICED),음료 및 차류,홍차,100ml,0,0.01,0.01,0.02,0,0,식품의약품안전처
D220-753000000-0018,홍차_얼그레이 리저브 핫(HOT),음료 및 차류,홍차,100g,3,0.5,0.25,,0,0,식품의약품안전처
D220-753000000-0017,홍차_얼그레이 리저브 아이스(ICED),음료 및 차류,홍차,100g,2,0.47,0.23,,0,0,식품의약품안전처
D220-753000000-0031,홍차_얼그레이,음료 및 차류,홍차,100g,1,,0.07,0,0,1,식품의약품안전처
D220-753000000-0016,홍차_얼 그레이티 핫(HOT) (Tall),음료 및 차류,홍차,100g,0,,0,,0,0,식품의약품안전처
D220-753000000-0015,홍차_얼 그레이티 아이스(ICED) (Tall),음료 및 차류,홍차,100g,0,,0,,0,0,식품의약품안전처
D220-753000000-0011,홍차_아쌈티 핫(HOT) (L),음료 및 차류,홍차,100g,1,,0.07,,0,1,식품의약품안전처
D220-753000000-0014,홍차_아쌈티 핫(HOT),음료 및 차류,홍차,100g,0,,0,,0,0,식품의약품안전처
D220-753000000-0010,홍차_아쌈티 아이스(ICED) (L),음료 및 차류,홍차,100g,1,,0.07,,0,1,식품의약품안전처
D220-753000000-0013,홍차_아쌈티 아이스(ICED),음료 및 차류,홍차,100g,0,,0,,0,0,식품의약품안전처
D220-753000000-0012,홍차_아쌈오렌지,음료 및 차류,홍차,100g,2,,0,,0,0,식품의약품안전처
D220-753000000-0078,홍차_블랙티 핫(HOT) (L),음료 및 차류,홍차,100ml,1,,0,,0,0,식품의약품안전처
D220-753000000-0077,홍차_블랙티 핫(HOT) (J),음료 및 차류,홍차,100ml,1,,0,,0,0,식품의약품안전처
D220-753000000-0076,홍차_블랙티 핫(HOT),음료 및 차류,홍차,100g,6,,0.05,,1.06,3,식품의약품안전처
D220-753000000-0075,홍차_블랙티 아이스(ICED) (L),음료 및 차류,홍차,100ml,1,,0,,0,0,식품의약품안전처
D220-753000000-0074,홍차_블랙티 아이스(ICED) (J),음료 및 차류,홍차,100ml,1,,0,,0,0,식품의약품안전처
D220-753000000-0073,홍차_블랙티 아이스(ICED),음료 및 차류,홍차,100g,4,,0.03,,0.73,2,식품의약품안전처
D220-753000000-0072,홍차_베리가못 얼그레이티 아이스(ICED),음료 및 차류,홍차,100ml,1,,0.09,,,2,식품의약품안전처
D220-753000000-0071,홍차_베르가못 얼그레이티 핫(HOT) (L),음료 및 차류,홍차,100ml,1,,0.09,,,2,식품의약품안전처
D220-753000000-0002,홍차_머스캣 블렌드티 핫(HOT) (L),음료 및 차류,홍차,100g,0,,0.07,,0,1,식품의약품안전처
D220-753000000-0001,홍차_머스캣 블렌드티 아이스(ICED) (L),음료 및 차류,홍차,100g,0,,0.07,,0,1,식품의약품안전처
D220-753000000-0003,홍차_머스캣,음료 및 차류,홍차,100g,2,,0.36,,0.36,0,식품의약품안전처
D714-725000000-0001,홍어회무침,생채·무침류,홍어회무침,100ml,61,6.64,8.3,0.41,2.71,424,식품의약품안전처
D407-350000000-0001,홍어찜,찜류,홍어찜,100ml,41,1.49,7.2,0.54,0.29,267,식품의약품안전처
D406-354000000-0001,홍어찌개,찌개 및 전골류,홍어찌개,100ml,51,3.15,7.7,0.97,0.79,84,식품의약품안전처
D314-661000000-0001,홍어무침,생채·무침류,홍어무침,100g,99,12.98,8.93,1.32,7.23,401,식품의약품안전처
D601-085000000-0001,혼합잡곡밥,밥류,혼합잡곡밥,100ml,118,24.68,2.6,0.5,0.22,18,식품의약품안전처
D106-302010000-0001,호박찌개_고추장,찌개 및 전골류,호박찌개,100g,41,5.96,2.08,0.99,0.56,211,식품의약품안전처
D306-302000000-0001,호박찌개,찌개 및 전골류,호박찌개,100g,32,4.07,1.87,0.87,1.93,341,식품의약품안전처
D404-197000000-0001,호박죽,죽 및 스프류,호박죽,100ml,58,13.33,1.1,0.22,3.96,106,식품의약품안전처
D509-445000000-0001,호박전,전·적 및 부침류,호박전,100ml,142,12.25,3.53,8.53,1.61,182,식품의약품안전처
D505-327000000-0001,호박잎 된장국,국 및 탕류,호박잎 된장국,100ml,17,2.53,1.3,0.37,0.54,183,식품의약품안전처
D113-600000000-0001,호박오가리나물무침,나물·숙채류,호박오가리나물무침,100g,201,21.46,6.14,10.01,6.82,1849,식품의약품안전처
D410-505374300-0001,호박볶음_호박_채소,볶음류,호박볶음,100ml,34,3.68,0.86,1.96,1.78,144,식품의약품안전처
D410-505370000-0001,호박볶음_호박,볶음류,호박볶음,100ml,27,3.53,0.84,1.32,1.62,234,식품의약품안전처
D713-623000000-0001,호박나물,나물·숙채류,호박나물,100ml,54,5.37,1.1,3.4,2.42,368,식품의약품안전처
D410-533000000-0001,호박고지볶음,볶음류,호박고지볶음,100ml,104,20.28,2.4,2.17,9.98,911,식품의약품안전처
D505-326000000-0001,호박 된장국,국 및 탕류,호박 된장국,100ml,17,2.17,1.2,0.4,0.49,212,식품의약품안전처
D202-126000000-0003,호밀빵_호두호밀브레드,빵 및 과자류,호밀빵,100g,295,,9,,6,490,식품의약품안전처
D202-126000000-0002,호밀빵_행복드림,빵 및 과자류,호밀빵,100g,226,,4.85,,11.21,218,식품의약품안전처
D202-126000000-0005,호밀빵_파란라벨 멀티그레인호밀빵,빵 및 과자류,호밀빵,100g,329,,11.43,,3.81,414,식품의약품안전처
D202-126000000-0001,호밀빵_무화과 통밀 로프,빵 및 과자류,호밀빵,100g,273,,5.91,,19.09,215,식품의약품안전처
D202-126000000-0004,호밀빵_멀티그레인 호밀브레드,빵 및 과자류,호밀빵,100g,263,37.33,8,8,2.67,300,식품의약품안전처
D202-125000000-0003,호떡_흑당가득품은호떡,빵 및 과자류,호떡,100g,324,,8.57,,20,362,식품의약품안전처
D202-125000000-0006,호떡_쫀득흑당호떡,빵 및 과자류,호떡,100g,377,,8.18,,20.91,309,식품의약품안전처
D202-125000000-0004,호떡_쫀득고구마호떡 (3개입),빵 및 과자류,호떡,100g,306,,2.72,,17.69,224,식품의약품안전처
D202-125000000-0002,호떡_아이스크림 호떡,빵 및 과자류,호떡,100g,183,,4.91,,4.56,199,식품의약품안전처
D202-125000000-0005,호떡_순꿀호떡,빵 및 과자류,호떡,100g,318,,6.76,,25.68,243,식품의약품안전처
D202-125000000-0007,호떡_꿀호떡,빵 및 과자류,호떡,100g,280,,6.25,,13.75,225,식품의약품안전처
D102-125030000-0001,호떡_견과류,빵 및 과자류,호떡,100g,314,57.12,5.41,7.07,0.73,211,식품의약품안전처
D502-125000000-0001,호떡,빵 및 과자류,호떡,100ml,147,20.14,2.7,5.91,4.76,2,식품의약품안전처
D304-196000000-0001,현미죽,죽 및 스프류,현미죽,100g,64,15.2,1.2,0.4,0.4,1,농촌진흥청(국가표준식품성분표)
D701-050330000-0001,현미밥_쌀,밥류,현미밥,100ml,120,26.15,2.15,0.2,0.02,3,식품의약품안전처
D701-050000000-0001,현미밥,밥류,현미밥,100ml,121,25.91,2.3,0.38,0.18,1,식품의약품안전처
D220-752000000-0191,허브차_히비스커스티 핫(HOT),음료 및 차류,허브차,100ml,1,,0.06,,,2,식품의약품안전처
D220-752000000-0190,허브차_히비스커스티 아이스(ICED),음료 및 차류,허브차,100ml,1,,0.06,,,2,식품의약품안전처
D220-752000000-0125,허브차_히비스커스 핫(HOT) (R),음료 및 차류,허브차,100g,3,,0.03,,0.03,0,식품의약품안전처
D220-752000000-0189,허브차_히비스커스 핫(HOT),음료 및 차류,허브차,100ml,0,0.07,0.01,0.01,0,0,식품의약품안전처
D220-752000000-0123,허브차_히비스커스 아이스(ICED) (R),음료 및 차류,허브차,100g,2,,0.03,,0.02,0,식품의약품안전처
D220-752000000-0188,허브차_히비스커스 아이스(ICED),음료 및 차류,허브차,100ml,0,0.06,0.01,0.01,0,0,식품의약품안전처
D220-752000000-0078,허브차_히비스커스 블렌드티 핫(HOT) (Tall),음료 및 차류,허브차,100g,0,,0,,0,0,식품의약품안전처
D220-752000000-0077,허브차_히비스커스 블렌드티 핫(HOT) (L),음료 및 차류,허브차,100g,1,,0.07,,0,1,식품의약품안전처
D220-752000000-0076,허브차_히비스커스 블렌드티 아이스(ICED) (Tall),음료 및 차류,허브차,100g,0,,0,,0,0,식품의약품안전처
D220-752000000-0075,허브차_히비스커스 블렌드티 아이스(ICED) (L),음료 및 차류,허브차,100g,1,,0.07,,0,1,식품의약품안전처
D220-752000000-0187,허브차_황금캐모마일티 핫(HOT),음료 및 차류,허브차,100ml,1,,0,,0,1,식품의약품안전처
D220-752000000-0186,허브차_황금캐모마일티 아이스(ICED),음료 및 차류,허브차,100ml,1,,0.14,,0,0,식품의약품안전처
D220-752000000-0185,허브차_허브티 핫(HOT),음료 및 차류,허브차,100ml,0,0,0,0,0,0,식품의약품안전처
D220-752000000-0184,허브차_허브티 아이스(ICED),음료 및 차류,허브차,100ml,0,0,0,0,0,0,식품의약품안전처
D220-752000000-0183,허브차_피치 얼그레이 핫(HOT) (R),음료 및 차류,허브차,100ml,2,,0.26,,0,0,식품의약품안전처
D220-752000000-0182,허브차_피치 얼그레이 핫(HOT) (EX),음료 및 차류,허브차,100ml,3,,0.15,,0,0,식품의약품안전처
D220-752000000-0181,허브차_피치 얼그레이 아이스(ICED) (R),음료 및 차류,허브차,100ml,2,0,0.24,0,0,0,식품의약품안전처
D220-752000000-0180,허브차_피치 얼그레이 아이스(ICED) (EX),음료 및 차류,허브차,100ml,3,,0.15,,0,0,식품의약품안전처
D220-752000000-0072,허브차_퓨어페퍼민트 핫(HOT),음료 및 차류,허브차,100g,1,,0,,0,0,식품의약품안전처
D220-752000000-0071,허브차_퓨어페퍼민트 아이스(ICED),음료 및 차류,허브차,100g,1,,0,,0,0,식품의약품안전처
D220-752000000-0179,허브차_퓨어 페퍼민트 핫(HOT) (EX),음료 및 차류,허브차,100ml,2,,0.15,,0,1,식품의약품안전처
D220-752000000-0178,허브차_퓨어 페퍼민트 핫(HOT),음료 및 차류,허브차,100ml,1,,0,,0,1,식품의약품안전처
D220-752000000-0177,허브차_퓨어 페퍼민트 아이스(ICED) (EX),음료 및 차류,허브차,100ml,2,,0.15,,0,1,식품의약품안전처
D220-752000000-0176,허브차_퓨어 페퍼민트 아이스(ICED),음료 및 차류,허브차,100ml,1,,0,,0,0,식품의약품안전처
D220-752000000-0061,허브차_페퍼민트티 핫(HOT) (L),음료 및 차류,허브차,100g,0,,0.04,,0,1,식품의약품안전처
D220-752000000-0175,허브차_페퍼민트티 핫(HOT),음료 및 차류,허브차,100ml,0,0,0.04,0,,1,식품의약품안전처
D220-752000000-0060,허브차_페퍼민트티 아이스(ICED) (L),음료 및 차류,허브차,100g,0,,0.04,,0,1,식품의약품안전처
D220-752000000-0173,허브차_페퍼민트티 아이스(ICED),음료 및 차류,허브차,100ml,1,0,0.03,0,0.07,1,식품의약품안전처
D220-752000000-0171,허브차_페퍼민트 허브티 핫(HOT),음료 및 차류,허브차,100ml,1,0,0.06,0,,2,식품의약품안전처
D220-752000000-0170,허브차_페퍼민트 허브티 아이스(ICED),음료 및 차류,허브차,100ml,1,0,0.06,0,,2,식품의약품안전처
D220-752000000-0117,허브차_페퍼민트 핫(HOT) (R),음료 및 차류,허브차,100g,2,,0.06,,0.01,1,식품의약품안전처
D220-752000000-0116,허브차_페퍼민트 핫(HOT) (M),음료 및 차류,허브차,100g,0,,0,,0,0,식품의약품안전처
D220-752000000-0115,허브차_페퍼민트 핫(HOT) (L),음료 및 차류,허브차,100g,0,,0,,0,0,식품의약품안전처
D220-752000000-0168,허브차_페퍼민트 핫(HOT),음료 및 차류,허브차,100ml,0,0.02,0.01,0.03,0,0,식품의약품안전처
D220-752000000-0112,허브차_페퍼민트 아이스(ICED) (R),음료 및 차류,허브차,100g,3,,0.1,,0.02,1,식품의약품안전처
D220-752000000-0111,허브차_페퍼민트 아이스(ICED) (M),음료 및 차류,허브차,100g,0,,0,,0,0,식품의약품안전처
D220-752000000-0110,허브차_페퍼민트 아이스(ICED) (L),음료 및 차류,허브차,100g,0,,0,,0,0,식품의약품안전처
D220-752000000-0166,허브차_페퍼민트 아이스(ICED),음료 및 차류,허브차,100ml,0,0.08,0.01,0,0,0,식품의약품안전처
D220-752000000-0066,허브차_페퍼민트,음료 및 차류,허브차,100g,1,,0.11,0,0,7,식품의약품안전처
D220-752000000-0055,허브차_페어진저 핫(HOT),음료 및 차류,허브차,100g,0,,0,,0,0,식품의약품안전처
D220-752000000-0054,허브차_페어진저 아이스(ICED),음료 및 차류,허브차,100g,0,,0,,0,0,식품의약품안전처
D220-752000000-0161,허브차_크림얼그레이티 핫(HOT),음료 및 차류,허브차,100g,1,,0,,0,2,식품의약품안전처
D220-752000000-0160,허브차_크림얼그레이티 아이스(ICED),음료 및 차류,허브차,100g,1,,0,,0,1,식품의약품안전처
D220-752000000-0053,허브차_크림슨 펀치 핫(HOT),음료 및 차류,허브차,100g,3,0.5,0,,0,0,식품의약품안전처
D220-752000000-0052,허브차_크림슨 펀치 아이스(ICED),음료 및 차류,허브차,100g,3,0.47,0,,0,0,식품의약품안전처
D220-752000000-0051,허브차_쿨민트 핫(HOT),음료 및 차류,허브차,100g,3,0.5,0.25,,0,1,식품의약품안전처
D220-752000000-0050,허브차_쿨민트 아이스(ICED),음료 및 차류,허브차,100g,2,0.47,0.23,,0,1,식품의약품안전처
D220-752000000-0103,허브차_쿨 허벌티 핫(HOT),음료 및 차류,허브차,100g,0,,0,,0,0,식품의약품안전처
D220-752000000-0102,허브차_쿨 허벌티 아이스(ICED),음료 및 차류,허브차,100g,0,,0,,0,0,식품의약품안전처
D220-752000000-0049,허브차_커즈마인 핫(HOT) (L),음료 및 차류,허브차,100g,0,,0,,0,6,식품의약품안전처
D220-752000000-0048,허브차_커즈마인 아이스(ICED) (L),음료 및 차류,허브차,100g,0,,0,,0,6,식품의약품안전처
D220-752000000-0040,허브차_캐모마일티 핫(HOT) (L),음료 및 차류,허브차,100g,1,,0.22,,0,4,식품의약품안전처
D220-752000000-0101,허브차_캐모마일티 핫(HOT),음료 및 차류,허브차,100g,1,,0.06,,,2,식품의약품안전처
D220-752000000-0039,허브차_캐모마일티 아이스(ICED) (L),음료 및 차류,허브차,100g,1,,0.22,,0,4,식품의약품안전처
D220-752000000-0157,허브차_캐모마일티 아이스(ICED),음료 및 차류,허브차,100ml,1,0,0.03,0,,1,식품의약품안전처
D220-752000000-0098,허브차_캐모마일 핫(HOT) (R),음료 및 차류,허브차,100g,2,,0.06,,0,2,식품의약품안전처
D220-752000000-0155,허브차_캐모마일 핫(HOT),음료 및 차류,허브차,100ml,0,0.02,0,0,0,1,식품의약품안전처
D220-752000000-0094,허브차_캐모마일 아이스(ICED) (R),음료 및 차류,허브차,100g,3,,0.1,,0.01,4,식품의약품안전처
D220-752000000-0153,허브차_캐모마일 아이스(ICED),음료 및 차류,허브차,100ml,0,0,0.01,0.03,0,0,식품의약품안전처
D220-752000000-0034,허브차_캐모마일 블렌드티 핫(HOT) (Tall),음료 및 차류,허브차,100g,0,,0,,0,0,식품의약품안전처
D220-752000000-0033,허브차_캐모마일 블렌드티 아이스(ICED) (Tall),음료 및 차류,허브차,100g,0,,0,,0,0,식품의약품안전처
D220-752000000-0045,허브차_캐모마일,음료 및 차류,허브차,100g,1,,0.06,0,0,2,식품의약품안전처
D220-752000000-0089,허브차_카모마일 핫(HOT) (M),음료 및 차류,허브차,100g,0,,0,,0,0,식품의약품안전처
D220-752000000-0088,허브차_카모마일 핫(HOT) (L),음료 및 차류,허브차,100g,0,,0,,0,0,식품의약품안전처
D220-752000000-0087,허브차_카모마일 아이스(ICED) (M),음료 및 차류,허브차,100g,0,,0,,0,0,식품의약품안전처
D220-752000000-0086,허브차_카모마일 아이스(ICED) (L),음료 및 차류,허브차,100g,0,,0,,0,0,식품의약품안전처
D220-752000000-0148,허브차_자스민티 핫(HOT) (L),음료 및 차류,허브차,100ml,1,,0,,0,0,식품의약품안전처
D220-752000000-0147,허브차_자스민티 핫(HOT) (J),음료 및 차류,허브차,100ml,1,,0,,0,0,식품의약품안전처
D220-752000000-0146,허브차_자스민티 아이스(ICED) (L),음료 및 차류,허브차,100ml,1,,0,,0,0,식품의약품안전처
D220-752000000-0145,허브차_자스민티 아이스(ICED) (J),음료 및 차류,허브차,100ml,1,,0,,0,0,식품의약품안전처
D220-752000000-0030,허브차_유러피안 후르츠,음료 및 차류,허브차,100g,0,,0,,0,0,식품의약품안전처
D220-752000000-0029,허브차_오렌지 보스 핫(HOT) (L),음료 및 차류,허브차,100g,0,,0,,0,7,식품의약품안전처
D220-752000000-0028,허브차_오렌지 보스 아이스(ICED) (L),음료 및 차류,허브차,100g,0,,0,,0,7,식품의약품안전처
D220-752000000-0144,허브차_오렌지 보스,음료 및 차류,허브차,100g,0,0,0,0,0,7,식품의약품안전처
D220-752000000-0027,허브차_시나몬 진저티,음료 및 차류,허브차,100g,1,,0,,0,4,식품의약품안전처
D220-752000000-0026,허브차_스프링캐모마일 핫(HOT),음료 및 차류,허브차,100g,2,,0,,0,0,식품의약품안전처
D220-752000000-0025,허브차_스프링캐모마일 아이스(ICED),음료 및 차류,허브차,100g,2,,0,,0,0,식품의약품안전처
D220-752000000-0143,허브차_스프링 캐모마일 핫(HOT) (EX),음료 및 차류,허브차,100ml,2,,0.15,,0,1,식품의약품안전처
D220-752000000-0142,허브차_스프링 캐모마일 핫(HOT),음료 및 차류,허브차,100ml,2,,0,,0,1,식품의약품안전처
D220-752000000-0141,허브차_스프링 캐모마일 아이스(ICED) (EX),음료 및 차류,허브차,100ml,2,,0.15,,0,1,식품의약품안전처
D220-752000000-0140,허브차_스프링 캐모마일 아이스(ICED),음료 및 차류,허브차,100ml,2,,0,,0,0,식품의약품안전처
D220-752000000-0024,허브차_스위트후르츠 핫(HOT),음료 및 차류,허브차,100g,0,,0,,0,0,식품의약품안전처
D220-752000000-0023,허브차_스위트후르츠 아이스(ICED),음료 및 차류,허브차,100g,0,,0,,0,0,식품의약품안전처
D220-752000000-0022,허브차_샤인히비스커스 핫(HOT),음료 및 차류,허브차,100g,1,,0,,0,0,식품의약품안전처
D220-752000000-0021,허브차_샤인히비스커스 아이스(ICED),음료 및 차류,허브차,100g,1,,0,,0,0,식품의약품안전처
D220-752000000-0139,허브차_샤인 히비스커스 핫(HOT) (EX),음료 및 차류,허브차,100ml,2,,0,,0.15,0,식품의약품안전처
D220-752000000-0138,허브차_샤인 히비스커스 핫(HOT),음료 및 차류,허브차,100ml,2,,0,,0,0,식품의약품안전처
D220-752000000-0137,허브차_샤인 히비스커스 아이스(ICED) (EX),음료 및 차류,허브차,100ml,2,,0,,0.15,0,식품의약품안전처
D220-752000000-0136,허브차_샤인 히비스커스 아이스(ICED),음료 및 차류,허브차,100ml,1,,0,,0,0,식품의약품안전처
