food_code,food_name,food_category,representative_food,serving_basis,calories,carbs,protein,fat,sugar,sodium,source
D413-594000000-0001,청경채나물,나물·숙채류,청경채나물,100ml,14,1.59,1.06,0.58,0.23,156,식품의약품안전처
D514-718000000-0001,천사채무침,생채·무침류,천사채무침,100ml,73,2.95,3.3,5.51,0.65,248,식품의약품안전처
D412-618000000-0001,채소튀김,튀김류,채소튀김,100ml,101,11.65,1.3,5.28,1.45,138,식품의약품안전처
D404-194150000-0001,채소죽_달걀,죽 및 스프류,채소죽,100ml,61,9.88,1.4,1.69,0.36,83,식품의약품안전처
D504-194000000-0001,채소죽,죽 및 스프류,채소죽,100ml,47,9.68,1,0.32,0.79,120,식품의약품안전처
D709-439000000-0001,채소전,전·적 및 부침류,채소전,100ml,204,25.38,4.7,8.58,0.86,247,식품의약품안전처
D701-082000000-0001,채소밥,밥류,채소밥,100ml,115,23.27,2.6,0.92,0.36,135,식품의약품안전처
D408-442000000-0001,채소 꼬치구이,구이류,채소 꼬치구이,100ml,91,14.29,2.8,2.3,0.98,406,식품의약품안전처
D504-209000000-0001,찹쌀죽,죽 및 스프류,찹쌀죽,100ml,63,13.39,1.1,0.27,0.05,130,식품의약품안전처
D102-074390000-0001,찹쌀떡_팥,빵 및 과자류,찹쌀떡,100g,295,62.93,5.06,2.53,25.95,140,식품의약품안전처
D202-074000000-0004,찹쌀떡_요아정 카스테라 생크림 찹쌀떡,빵 및 과자류,찹쌀떡,100g,250,42.5,2.5,7.25,7.5,225,식품의약품안전처
D202-074000000-0003,찹쌀떡_요아정 쑥팥크림 찹쌀떡,빵 및 과자류,찹쌀떡,100g,263,47.5,5,5.5,2.5,225,식품의약품안전처
D202-074000000-0002,찹쌀떡_요아정 딸기요거트크림 찹쌀떡,빵 및 과자류,찹쌀떡,100g,238,45,2.5,5.25,7.5,200,식품의약품안전처
D202-074000000-0001,찹쌀떡_요아정 고구마크림 찹쌀떡,빵 및 과자류,찹쌀떡,100g,238,45,2.5,5.5,7.5,225,식품의약품안전처
D302-074000000-0001,찹쌀떡,빵 및 과자류,찹쌀떡,100g,277,65.61,3.26,0.15,17.54,226,식품의약품안전처
D401-041350000-0001,참치회덮밥_양념장,밥류,참치회덮밥,100ml,76,12.14,4.73,0.81,1.65,88,식품의약품안전처
D406-350000000-0001,참치찌개,찌개 및 전골류,참치찌개,100ml,42,3.05,5.4,0.97,1.28,306,식품의약품안전처
D504-193000000-0001,참치죽,죽 및 스프류,참치죽,100ml,60,8.45,2.4,1.8,0.37,122,식품의약품안전처
D401-040000000-0001,참치덮밥,밥류,참치덮밥,100ml,108,15.91,5.8,2.13,2.05,341,식품의약품안전처
D108-401060000-0001,참치구이_머리,구이류,참치구이,100g,193,1.4,26.56,8.98,0,459,식품의약품안전처
D708-401000000-0001,참치구이,구이류,참치구이,100ml,318,0.05,33.5,19.02,0,1130,식품의약품안전처
D712-617000000-0001,참치강정,튀김류,참치강정,100ml,353,23.55,30.3,14.12,6.87,948,식품의약품안전처
D509-459000000-0001,참치 완자전,전·적 및 부침류,참치 완자전,100ml,220,14.84,18.8,8.84,1.73,962,식품의약품안전처
D714-717000000-0001,참치 샐러드,생채·무침류,참치 샐러드,100ml,200,2.96,10.8,16.18,1.96,151,식품의약품안전처
D705-320000000-0001,참치 미역국,국 및 탕류,참치 미역국,100ml,28,0.75,2.7,1.75,0,250,식품의약품안전처
D714-649040000-0001,참나물겉절이_고춧가루,생채·무침류,참나물겉절이,100ml,18,2.91,0.74,0.6,1.1,143,식품의약품안전처
D414-716450000-0001,참나물 무침_된장,생채·무침류,참나물 무침,100ml,15,1.85,0.7,0.71,0.14,99,식품의약품안전처
D614-649420000-0001,참나물 겉절이_단감,생채·무침류,참나물 겉절이,100ml,22,3.41,1,0.75,1.04,95,식품의약품안전처
D714-649390000-0001,참나물 겉절이_간장,생채·무침류,참나물 겉절이,100ml,18,2.9,0.7,0.6,1.1,149,식품의약품안전처
D414-649000000-0001,참나물 겉절이,생채·무침류,참나물 겉절이,100ml,17,2.43,0.8,0.72,0.48,98,식품의약품안전처
D113-593000000-0001,참나물,나물·숙채류,참나물,100g,60,4.14,2.51,3.69,0.67,218,식품의약품안전처
D304-192000000-0001,참깨죽,죽 및 스프류,참깨죽,100g,38,5.9,1,1.2,,120,농촌진흥청(국가표준식품성분표)
D302-073000000-0001,찰시루떡,빵 및 과자류,찰시루떡,100g,181,37.63,6.63,0.41,1.22,182,농촌진흥청(국가표준식품성분표)
D101-039000000-0001,찰밥,밥류,찰밥,100g,153,33.56,4.39,0.18,0.49,3,식품의약품안전처
D202-104000000-0007,찰떡빵_찹쌀고구마,빵 및 과자류,찰떡빵,100g,274,45.5,4.8,8.1,14.8,225,식품의약품안전처
D202-104000000-0006,찰떡빵_쫀득찹쌀 브레드,빵 및 과자류,찰떡빵,100g,278,,7,,17,294,식품의약품안전처
D202-104000000-0005,찰떡빵_울퉁불퉁왕찰떡빵 (소),빵 및 과자류,찰떡빵,100g,371,,7.5,,20.83,225,식품의약품안전처
D202-104000000-0004,찰떡빵_울퉁불퉁왕찰떡빵 (대),빵 및 과자류,찰떡빵,100g,371,,7.5,,20.83,221,식품의약품안전처
D202-104000000-0002,찰떡빵_연유콩떡빵,빵 및 과자류,찰떡빵,100g,316,,6.32,,28.42,200,식품의약품안전처
D202-104000000-0001,찰떡빵_쑥떡쑥떡콩쑥이,빵 및 과자류,찰떡빵,100g,301,,7.14,,16.07,268,식품의약품안전처
D202-104000000-0010,찰떡빵_스트로베리 크림치즈 찰떡,빵 및 과자류,찰떡빵,100g,283,43.33,5,,18.33,300,식품의약품안전처
D202-104000000-0009,찰떡빵_블루베리 크림치즈 찰떡,빵 및 과자류,찰떡빵,100g,342,36.67,6.67,,18.33,300,식품의약품안전처
D202-104000000-0008,찰떡빵_베이크치즈 크림치즈 찰떡,빵 및 과자류,찰떡빵,100g,283,43.33,5,,18.33,300,식품의약품안전처
D601-038000000-0001,차조밥,밥류,차조밥,100ml,119,25.81,2.18,0.19,0.03,2,식품의약품안전처
D308-400120000-0001,차돌박이구이_소고기,구이류,차돌박이구이,100g,488,1.31,17.94,45.69,0.33,93,식품의약품안전처
D410-497000000-0001,쫄볶이,볶음류,쫄볶이,100ml,150,29.37,4.7,1.41,3.97,652,식품의약품안전처
D103-173000000-0001,쫄면,면 및 만두류,쫄면,100g,129,23.26,3.21,2.52,3.51,250,식품의약품안전처
D401-037000000-0001,짬뽕밥,밥류,짬뽕밥,100ml,48,7.6,2.2,0.85,0.56,89,식품의약품안전처
D403-198000000-0001,짬뽕라면,면 및 만두류,짬뽕라면,100ml,91,12.32,3.4,2.92,0.28,91,식품의약품안전처
D303-172460000-0001,짬뽕_차돌박이,면 및 만두류,짬뽕,100g,88,9.82,4.58,3.42,0.69,342,식품의약품안전처
D303-172310000-0001,짬뽕_삼선,면 및 만두류,짬뽕,100g,74,11.3,4.4,1.2,0.12,299,식품의약품안전처
D303-172260000-0001,짬뽕_백짬뽕,면 및 만두류,짬뽕,100g,63,8.54,3.66,1.54,0.21,280,식품의약품안전처
